chosen,rejected
"Hola, . Se . Te agradeceré que revises la política de borrado rápido y sólo si crees que el artículo borrado no se ajusta a lo descrito ahí, expón tus argumentos al usuario que eliminó el artículo. No se considera una buena práctica volver a crear un artículo que ha sido eliminado por la aplicación de la política de borrado rápido, al menos que el artículo ya no cumpla con los criterios especificados en la política. Si la página la creaste con finalidades de hacer pruebas, se recomienda utilizar la Zona de pruebas. Gracias por tu comprensión, 13:48 15 jul 2011 (UTC)","o apañais este articulo o lo borrais, es una porqueria, tiene una cantidad de sesgo terrible, y necesita ser wikificado urgentemente."
"Les pido de favor que pongan las declaraciones de la ex Abogada de Daiana Wendolin Gutiérrez http://www.youtube.com/watch?v=sp_N2vtFm40 Además, las pruebas ginecológicas salieron a favor de Kalimba, ya que encontraron que la ñiña fue violada por el ano y por la vagina y la niña mintió al decir que Kalimba la sometió todo el tiempo boca abajo...... yo me pregunto, ¿quien la sometió boca arriba?... Puras mentiras. Todos los testigos del hotel, la vieron muy normal. Isabel García",pero de que estas hablando?se llama catalunya norte por que son dos antiguos condados en uno el norte de la cerdaña y el rosellon que barcelona como superior pero que dices?tienes la cabeza llena de m**** propongo cambiarlo no se como dejais comentarios como el anterior no tiene nada que ver mallorca i valencia eran reinos aparte en cambio rosellon y cerdaña son constituyentes de catalunya no es ninguna expansion de la corona estos antiguos condados son los que Crearon catalunya no tiene nada que ver con baleares ni con valencia lo dicho los politicos te han comido el coco
"Esa es la idea: cuanta más sencillez mejor, cuanto más uniforme, mejor. Un saludo Takashi ",Aunque parece que no ha servido de nada porque ahora dicen el he violado el copyright. Creo que mejor lo voy a dejar no me vaya a buscar follones. Gracias por tu atención-Ylvar 28 dic 2006
"Tienes razón, es una manera sucia que los que se llaman religión cristiana acostumbran hacer yo ya estoy acostumbrada a ello lo encuentro tanto en Internet que ya hasta me aburrieron, no les hago caso ya me acostumbre, a sus tecnicas de ataque, los conozco bien y no soy la única es un movimiento malisocio que tienen de copy page. y los encontraras por todos lados en la red , lo que me digo como pierden su tiempo , mejor lo deberían de emplear en cosas positivas y mejorar sus vidas. Son las mismas organizaciones vinculadas en Asesinato motivados por los mismos sentimientos de intolerancia y odio que llevaron a convertirse en asesinos a muchos cristianos que participaron en la muerte de Jose Smith, quieren acabar lo que no pudieron terminar hace tiempo, jamás pudieron ni podrán por que esta Iglesia esta fundada bajo el pilar de la revelacion personal de dios a sus profetas y a su pueblo y contra esto las personas jamas podrán destruir negar un testimonio personal seria negar que Dios existe. Saludos a Todos. Sinceramente Mary","El bibliotecario ese me va a chupar la polla, dile de mi parte que es un hijo de la gran puta, que me voy a cagar en el y en su puta madre, y lo voy a matar, y después lo cortare y lo usaré como leña."
"No sé porqué me has borrado el articulo  Servicio de Publicaciones de la Universidad de Córdoba . Si me puedes indicar los motivos te lo agradecería. Además, cualquiera puede llegar y borrarte el articulo así porque sí, porque si es así estamos apañados.",¿Hay alguien que hable correctamente el español o hay pueros huevones flaites no más entre los wikipedistas chilenos? ¿Mucho reggetón y música sound han atrofiado sus facultades mentales superiores? ¿Su referencia cultural es  Morandé con Compañía  acaso? Firma: un chileno indignado.
"Me puedes dar más fuentes para saber sobre el leopardo nublado, es que he indagado en varias fuentes en las cuales se contradicen, y buscado videos donde muestran la existencia de cachorros, quisiera saber cual es la verdad.. Ya que en varios zoologicos en años como el 2012 y 2013 habitaba esta especie y queria saber en si, si no es una noticia fake su extinción.. Por ejemplo, como es posible que en oct del 2013 en youtube http://www.youtube.com/watch?v=001wpoRzuVk&feature=youtube_gdata_player hubiera videos de ese tipo, o en 2012 hubiera notas sobre la existencia de la especie en zoo s de washington y san diego.. O esté reportaje de hace 7 horas http://kienyke.com/#/noticias/el-leopardo-nublado-no-esta-extinto/ ... Tengo 17 años y he buscado en demasiadas paginas, me gustaria que me pudieses ayudar.. Saludos desde Los Mochis, Sinaloa. Espero tu respuesta. Jade  Jade Engel.","Hola. Estoy repasando el artículo Special Air Service (SAS) y y no entiendo tu reversión aquí.  Respondo Aqui, lo reverti por una imagen que habia sido borrada. Ya, pero supongo que te has fijado que se trata del editor que más ha aportado al artículo de manera constante desde diciembre de 2009 - y probablemente adjuntó la imagen al artículo en su momento. gracias x eliminarme ese fckn articulo que me sake la re #((/% madre haciendolo!! ya era hora "
"El artículo decía erroneamente que Microsoft sólo tenía oficinas en Sao Paulo y en Ciudad de México, siendo que, minimamente, también tiene en Buenos Aires y quizás otras ciudades, es por eso que borre esa parte y propongo rectificarla con la información correcta. |Lu1g1-ktupq //Atención al público\\ 06:11 8 ago 2008 (UTC)",Eres un inutil deja de usar esto para boludeces isidorooo!!! Gracias por su atencion. ¡¡Vamos la Wiki locoo!!! Usuario:Staff de la Wikimania
"La supuesta fotografía de William Henry Jackson del año 1899 de El Capitán es una pintura y no una fotografía, por lo menos a mi juicio lo es y creo que es bastante obvio que no es una fotografía.","tonto del culo no sabes nada falta muxa cosa y ers un tonto muy tonto ers el tonto mas tonto que eh visto nunk tontooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo o tonta lo que seas pero ers retrasado mental si corto,memo,maricon,so gay,gili-p,vete a cagar ovejas tontooooooo,me aburrooooo vle???????? k psa? tienes algo en contra? eh? que te metooo eh.........................................................es broma venga vamos a llevarnos bien hombre,k m has caidi bn xD ^.^  <(*_*)> =)x).......................................... bueno vamos a esperar a k suene el timbre k slo faltan 10 minutos muajaja HOLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA espero k algun dia seamos buenos amigos slo lo esperooo ehhhhh vnga vya bn ehhhh la vda k slo son dos dias xavala/a xD stoy escribiendo un testamento k lo flipas uauauauauauauauauauauauauauauauauuauauauauauuauauuauauauauauuaua solonecisto que me digas lo que tengo que hacer porque yo no lo se y me aburro ,y ahora luego m toca catalan y despues pa ksa xDDDD aiai dentro de una semana akabamos el insti por fins joder ya era hora xDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD jijiijijijijojojojojujujujjejejejajaja el profe creo k m sta mirando pero vamos a disimular ehhhh jajaja xDDD dios ahora que me fijo eh escrito un buen testamento...joderrrr y tdo son tonterias pero joderrrr xabal"
"Tras consultarlo con una amiga que es médico especialista en endocrinología, su respuesta ha sido rotunda: No, no existe ninguna evidencia que lo demuestre. 19:15 25 ene 2015 (UTC)",La verdad que no os entiendo si poner un nombre de mas sabiendo que algun listillo lo iba a quitar es vandalizar y hakear es que nose que sera lo proximo.... a el que se invente una informacion lo va a sentenciar de muerte? la verda que algunos sois pateticos....
"No tiene mala pinta el formato de Felipe III. En el de Carlos I hay algo muy parecido. Por cierto, lo de «  Como creía que el simple título de  Rey de España ...  » es lo que se leía en el texto que pusiste en el artículo. Creo que te pareció que me refería a ti y a tu actuación, lo que no era mi intención. Sólo transcribí lo que ponía en el texto y en ningún caso me refería a ti. Un saludo.",   ESCUCHAME FORRO QUIEN TE PENSASA QUE SOS MEXICANO INDIGENA CARA DE INCA DEL ORTO PUTO MARICON COME GARCHA PARA PONER QUE PINSON ES COMILON FORRO PUTO    
