chosen,rejected
" Question conne, pardonnez-moi d avance comment un blason peut-il être soumis à copyright ? Demdandez l avis de . Cordialement. Abaddon1337 (d) ", JE ME FOUS DES REFERENCES EXTERNES CE QUE VOUS RACONTEZ N A PAS DE SENS. LAISSEZ CETTE PAGE TRANQUILLE ET FOUTEZ-MOI LA PAIX. Wcorrector 
" Titre (et donc cadre) trop flou il y a eu d autres victimes... Mieux vaudrait    fusionner    avec l exécution de la famille impériale, amha. Addacat (d) ","Sardur, continuez à bien vous cacher, si je vous retrouve je vous apprendrai à vivre. Vous comprendrez que vous n auriez pas dû réagir de la sorte. Je vous jure que je vous retrouverai Sardur. 212.68.231.4 (d) "
"Salut, je crois que tu suis cette histoire. 90.25.210.182 est de passage ce matin. Je te laisse prendre toutes décisions utiles. A+ P@d@w@ne ","Ahem, Badowski, tu as en face de toi des êtres humains aux capacités intellectuelles parfois limitées (comme moi). Il faut donc expliquer simplement. Si ce n est pas du foutage de gueule, de l humour ou de la schizophrénie, qu est-ce que c est ? Une tentative de démontrer ton côté Mr. Jekyll qui nous aurait échappé ? le Korrigan   bla   "
"Salut Diti. Oui je m étais posé la même question et avais déjà recrée la page, et j ai eu ça comme réponse. Bonne soirée! ","Bonjour stef. Juste pour te dire que   les cons ça ose tout... c est même à ça qu on les reconnaît  . Tu dois savoir d où ça vient... Tu es mille fois plus appréciable et apprécié que l idiot qui t insulte. Mais j ai vu que tu savais le renvoyer dans ses buts. Bravo, continues comme tu es, tu es un type adorable. Amitiés, Serein [[[Discussion Utilisateur:Serein|blabla]]]  Je   plussoie   mille fois ! ! bonjour !   Adrienne   bavardages  j aime bien ce mot plussoie Bonjour, j ai lu la pathétique prose de ce  cher  Yves66. Il existe des frustrés partout, et c est dommage que tu en aies fait les frais. Cependant, je me suis foulé d un mail (puisqu il n y a que cela qu il comprend) pour dire à ce sinistre individu tout le peu de bien que je pense de lui. Cordialement    Ico      Bla ?   "
AFRICABOX Lien publicitaire vers une chaine de télé par satellite. A Blacklister. Merci d avance. PoM ,"Ok, tu te fous de ma gueule, donc... on va continuer la guerre d edition... Nouill "
"Comme on pouvait s y attendre le bruit fait autour de cette affaire du patronyme de Bruel attire ici des énergumène qui se croit malin à venir déposer leur caca trollesque sur cette page (à défaut de le faire sur l article vu qu il est semi protégé) . Je demande donc de supprimer à vue toute intervention de l  ip 79.94.194.76, comme je viens de le faire , si il croit qu il va pouvoir se défouler en toute impunité il se trompe lourdement. Kirtapmémé sage ","Bonjour jeune admin    Touche Pas à ça P tit Con   , Journal des suppressions de page) ; 20:38 . . Adrille (discuter | contributions) a supprimé « Discussion:Patrick Moya » (Décision PàS Le contenu était « » et l unique contributeur en était HerculeBot) (Journal des suppressions de page) ; 20:38 . . Adrille (discuter | contributions) a supprimé « Patrick Moya » (Décision PàS contenait «    Patrick Moya    est un plasticien contemporain français.Il est né en 1955 à Troyes . Il vit et travaille à Nice ([[Alp) Il faut que tu désactives la suppression de la pdd quand tu supprimes un article supprimé suite à une PàS, car les PàS etc sont dorénavant en sous page de la pdd de l article ) Pour expier ta faute, tu devra ouvrir la fenêtre et crier le plus fort possible      J aime lé poné !    Lilyu (Répondre) "
"Bonjour, Alexandre brance, La page        que vous avez créée vient d être supprimée par l administrateur Moyg avec le commentaire «   Bac à sable   ».    Ne recréez pas cette page vous-même.    Si vous tentez de la recréer, elle sera automatiquement blanchie par Salebot. (bot de maintenance) ","Hou toi tu as un bannissement qui te pend au nez,  gaffe à ta gueule ] "
" bonjour. C était juste pour aider car il y a peu de chance que je participe à cette édition. Le désébauchage n est pas trop mon truc, je préfère la labellisation pure ou l ébauchage justement. Bonne chance pour ta participation sur la Russie car c est un thème intéressant mais un handicap de travailler sur un thème dont les articles n ont pas le même plan et dont on ne peut pas repartir d une base de données. Côté relecture, je te laisse voir dans ma liste de course en fonction de l avancement si un article t intéresse Tournée européenne de la famille Mozart sur la musique classique ; Accident de la navette spatiale Challenger l anniversaire de l accident arrive dans quelques mois ; Six frégates originelles de l United States Navy (et USS Congress (1799)) histoire maritime ; Clements Markham, Groupe de la mer de Ross et Voyage du James Caird exploration polaire (issus du dernier wikiconcours) ; Jacques Plante (hockey sur glace) hockey sur glace. Merci.    Like tears in rain    {-_-} ","Il n y a que les cons qui ne changent pas d idée, je l ai toujours dit et je continue.  J oubliais "
"Bonjour, 80.13.127.205, La page        que vous avez créée vient d être supprimée par l administrateur Coyau avec le commentaire «   contenait avant blanchiment « ta mere enculer »   ».    Ne recréez pas cette page vous-même.    Si vous tentez de la recréer, elle sera automatiquement blanchie par Salebot.   Si ce message est présent sur votre page de discussion et que vous ne comprenez pas pourquoi, il est vraisemblable que votre fournisseur d accès internet utilise des adresses dynamiques, et que l adresse que vous utilisez actuellement a été utilisée autrefois par quelqu un qui a détérioré le contenu de Wikipédia.   Salebot (d) ","Je ne trolle pas les PdD mais depuis plus d’un an, ayant eu affaire à des imbéciles qui m’ont fait bloquer parce qu’ils avaient des administrateurs dans leur manche ou étaient administrateurs eux-mêmes, je contribue la plupart du temps sous I.P. quand il s’agit de créer ou d’enrichir un article. Ainsi ces imbéciles ne lisant pas mon nom ne jugent pas utiles d’intervenir. Regardez par exemple l’article sur le film   Tomboy   et l historique. Pourriez-vous en faire autant ? J’ai fait bien d’autres traductions mais je ne les ai pas mises dans ma liste de suivi puisque les administrateurs peuvent facilement la consulter et y trouver un nouveau prétexte de blocage. Gustave G. (d) "
 c est vous qui devriez relire l article   Majorité absolue   au lieu de raconter des bêtises... SenseiAC (discuter) ,  n ayant rien fait de plus que de se faire violer   !!!  que ? tu sais ce que c est qu un viol espèce de connard?! Two Wings (jraf) 
