chosen,rejected
"I think the point is that regardless of the reason, this not all that uncommon C mistake is impossible in pascal, the pascal language rules prevents you from shooting yourself in the foot in this particular case. It's an important distinction when comparing pascal to C.",HEY ASS HOLE WHATS YOUR PROBLEM!!!!
"== Germany FAC == 

 Hi, Baristarim, I know you are busy with the Turkey FAC among other things, but could you please just take a glance at Germany and see if the concerns you mentioned on the German FAC page where addressed.","No, I think it's somebody sitting on the toilet going poop. —"
"What are the sources you are using? I don't need to tell you my sources, since I am correcting OBVIOUS pro-PAN and neoliberal bias.","Here You Go...

Nope! Never accused you of calling me names. Just another one of your delusions. So, just to shut you up, here are the dates and proof of the Hayes Seminar infiltration that you don't believe happened. Just like the White House, this is the only documentation I am going to provide in a futile attempt to satisfy you. All the rest of your arguments and allegations are just as full of crap as you are. I can disprove them all. But, I'm tired of answering the same stupid questions over and over and wasting time with turkeys like you who REFUSE TO BELIEVE THE TRUTH even when it bites them on the bum, LOL 
Now, go check with your buddy Hayes, you claim to be able to do that, to confirm this and then come back here and apologize like the whipped dog you are. Don't wonder off the topic! You said this didn't happen and that I couldn't confirm it. Here is the proof that YOU are a liar.

Ashida Kim"
"Copyright Violation Tools 

This does not work: https://tools.wmflabs.org/copyvios/ The link you gave me before, however, did. Do you mind giving me the link again (on my talk page or ping me)? Thanks","Warning Me

If you dare to warn me I dont really give a rip. I will delete them and keep on deleteing them. I am making a new account so BHAHA"
So clearly livelikemusic has two (or more) of them or you wouldn't have brought it up. Lovely.,ugly butt faced boy who didn't know anything
"""

 Name of Capital 

It may just be semantics, but the official name of Mexico's capital city is Mexico.  The word """"city"""" is used to simply distinguish it from the country.  Just like Monaco is the capital of Monaco, and the same for Panama, Kuwait, and Singapore.  Why was my edit simply deleted?
  """,Chew on that. Idiot.
""" 
 ==Help for editing page== 
 https://en.wikipedia.org/wiki/Achraf_Baznani_(photographer) 
 Hello, Could you please tell me more about """"puffery not supported by sources"""" 
 Thank you.""","Seriously? 

This pathetic need to restore little American flags is so sad. Is your patriotism so threatened with their removal, or is it some other deep seated insecurity? 50.159.28.153"
"""
The blocking admin hasn't made any contribution since December 8, 2006. I'd also like to comment on the denial of my unblocking: obviously I have inappropriate edit summaries, I was warned for them, and was blocked for them. I may've confused you, though, by mentioning that there was a false reason that I """"vandalized"""" in the block's description, too.  [talk] ""","Noun adjunct? 

You're out of your mind. That stupid quote? Thing is totally POV. Go ahead and revert again."
You want to build a pump that can transport billions of gallons of water to higher ground?,I'll say it again;I DON'T WANT A STUPID NON HUMAN ROBOT SIGNING FOR ME.gET IT.
"Turkey 
Dear Heja Helweda, Baristarim is all out racist against kurds and has been trying to attribute many of the neagtive aspects of turkey like illiteracy to them on . I have tried many times to delete the information, but he is stubbornly insistent to include them on turkey.","No dumbF-CK, YOU quit your disruptive editing

Bernie sanders is divorced. Quit CENSORING that out of his article. And, for goodness sake, learn to use Google and don't knee jerk delete anything about the man you don't like.162.216.14.26"
